time,laccx,laccy,laccz,grax,gray,graz,gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz
113376200,0.3136745,-0.029272001,0.48829398,-0.03686575,9.710038,1.3724035,-0.017015625,6.531244E-4,-0.0119968755,0.16376251,9.608776,1.2607875,41.97,46.37625,154.86
113376220,-0.18919651,0.06764047,-0.10519084,-0.014930579,9.705873,1.402097,-0.008597368,0.01791842,-0.009386185,-0.21911845,9.777537,1.4893264,41.6475,46.781254,154.56
113376240,-0.09203579,0.1665569,0.2949375,-0.0487186,9.705751,1.4022299,-0.0097762495,-0.009184999,-0.0085525,-0.063990004,9.850201,1.3413601,41.482506,47.1525,154.54501
113376260,-0.0422536,0.3058419,-0.0843298,-0.058756,9.702702,1.4228334,-0.00209,0.00881375,-0.0066275005,-0.18276002,10.04616,1.6933501,41.801254,47.077503,154.99126
113376280,-0.30859008,0.08661868,0.063412786,-0.08607206,9.700629,1.4351168,-0.016029604,0.0075046057,-0.010037501,-0.41655,9.71883,1.5255901,42.2625,46.75875,154.66501
113376300,0.041295394,0.19468325,0.226998,-0.12386915,9.698574,1.4464662,0.00240625,-0.00924,0.0072943736,0.035376325,9.929851,1.6028843,42.83625,46.8675,154.66125
113376320,-0.38601106,0.3845423,0.11866105,-0.125738,9.696428,1.4603491,0.00903375,0.020755623,-0.014925627,-0.59685755,10.100858,1.3435576,42.956253,47.107502,154.6875
113376340,-0.29440096,0.19820964,-0.18261829,-0.19651835,9.694929,1.4625819,-0.007645,-0.006613751,0.01667875,-0.555885,9.860086,1.7281576,43.151253,47.261253,154.7775
113376360,0.25557423,-0.042497255,0.14729598,-0.21233484,9.692642,1.4753587,0.0023230258,-0.026978943,0.008807236,0.34900263,9.675277,1.7575738,43.245003,46.5075,154.32
113376380,-0.15545559,0.09838761,0.2182096,-0.17037721,9.693953,1.4724934,0.0039875004,0.029755002,-0.0062975003,-0.516405,9.762496,0.7547551,43.01625,46.3125,153.96
